,heatingType,newlyConst,balcony,pricetrend,yearConstructed,hasKitchen,cellar,livingSpace,condition,interiorQual,petsAllowed,lift,typeOfFlat,geo_plz,noRooms,thermalChar,floor,garden,city,SizePerRoom
114579,central_heating,False,True,4.21,1967.0,False,True,39.0,fully_renovated,normal,yes,True,apartment,51109,1.0,117.0,8.0,False,Köln,39.0
249688,central_heating,False,False,5.1,1956.0,False,True,51.0,well_kept,unknown,unknown,False,apartment,44789,2.0,127.9,1.0,False,Bochum,25.5
74999,central_heating,False,False,3.06,1960.0,False,True,64.0,fully_renovated,normal,unknown,True,apartment,42651,3.0,189.0,4.0,False,Solingen,21.333333333333332
69331,unknown,False,True,3.18,1974.0,False,False,79.39,need_of_renovation,unknown,unknown,True,apartment,45897,3.0,154.0,2.0,False,Gelsenkirchen,26.463333333333335
241290,central_heating,False,True,5.42,1910.0,False,True,88.59,refurbished,sophisticated,negotiable,False,apartment,4177,3.0,103.0,2.0,True,Leipzig,29.53
80990,self_contained_central_heating,False,False,3.13,1952.0,True,True,50.0,need_of_renovation,normal,no,False,maisonette,28217,3.0,141.4,3.0,False,Bremen,16.666666666666668
20010,central_heating,False,False,2.29,1922.0,False,True,52.5,well_kept,simple,negotiable,False,ground_floor,6842,2.0,107.0,1.0,True,Dessau_Roßlau,26.25
267940,central_heating,False,True,3.78,1999.0,False,True,47.19,fully_renovated,normal,yes,False,apartment,6347,2.0,142.9,2.0,True,Mansfeld_Südharz_Kreis,23.595
147748,unknown,False,False,3.85,1988.0,False,True,46.81,unknown,unknown,unknown,False,apartment,44137,1.5,87.0,1.0,False,Dortmund,31.206666666666667
225454,combined_heat_and_power_plant,True,True,3.88,2019.0,True,True,113.24,first_time_use,sophisticated,negotiable,True,apartment,21218,4.0,45.9,1.0,True,Harburg_Kreis,28.31
69332,central_heating,False,True,3.06,1973.0,False,True,59.58,refurbished,unknown,unknown,True,unknown,29410,3.0,84.0,5.0,False,Altmarkkreis_Salzwedel,19.86
261627,floor_heating,False,True,1.59,1996.0,False,False,44.2,well_kept,normal,unknown,False,apartment,39114,1.0,124.0,1.0,False,Magdeburg,44.2
54743,central_heating,False,True,0.88,2014.0,True,True,64.6,mint_condition,sophisticated,yes,True,unknown,99099,2.0,147.13,5.0,False,Erfurt,32.3
226043,central_heating,False,False,3.57,1997.0,False,False,51.67,well_kept,unknown,unknown,False,other,25541,2.0,100.0,1.0,False,Dithmarschen_Kreis,25.835
235519,gas_heating,False,True,5.83,1933.0,True,True,80.0,unknown,normal,no,False,apartment,70195,3.0,299.0,2.0,True,Stuttgart,26.666666666666668
200667,district_heating,False,False,3.41,1910.0,False,True,47.0,well_kept,normal,negotiable,False,apartment,47169,2.0,110.0,3.0,False,Duisburg,23.5
54147,central_heating,False,True,3.34,1962.0,False,True,69.3,unknown,unknown,unknown,False,apartment,45327,3.0,100.0,1.0,False,Essen,23.099999999999998
63609,floor_heating,False,True,4.67,2016.0,True,True,166.2,first_time_use,unknown,unknown,True,apartment,4103,4.0,63.0,5.0,False,Leipzig,41.55
96326,central_heating,False,True,0.4,1982.0,False,True,123.0,modernized,sophisticated,unknown,False,apartment,9557,5.0,89.0,4.0,False,Mittelsachsen_Kreis,24.6
60894,central_heating,False,False,3.57,1964.0,False,True,68.0,well_kept,normal,negotiable,False,ground_floor,45881,3.0,287.0,0.0,False,Gelsenkirchen,22.666666666666668
175388,central_heating,False,True,7.21,2016.0,True,False,135.88,mint_condition,unknown,negotiable,False,apartment,10435,3.0,79.9,2.0,False,Berlin,45.29333333333333
199293,unknown,False,True,-0.4,1936.0,False,True,56.29,well_kept,normal,negotiable,False,apartment,9131,2.0,119.0,2.0,False,Chemnitz,28.145
53519,central_heating,False,False,1.89,1961.0,False,False,59.23,unknown,unknown,unknown,False,unknown,9119,2.0,65.0,1.0,False,Chemnitz,29.615
23111,unknown,True,True,6.99,2019.0,False,True,69.85,first_time_use,unknown,no,False,roof_storey,74376,2.0,56.7,2.0,False,Ludwigsburg_Kreis,34.925
190306,central_heating,False,True,2.68,1974.0,False,True,75.95,unknown,unknown,unknown,False,apartment,45899,3.5,139.0,2.0,False,Gelsenkirchen,21.7
164827,self_contained_central_heating,False,True,2.38,1890.0,False,True,82.21,well_kept,unknown,negotiable,False,apartment,4159,3.0,80.0,2.0,False,Leipzig,27.403333333333332
208128,district_heating,False,True,5.22,2015.0,True,True,100.6,mint_condition,luxury,negotiable,True,apartment,81379,4.0,47.6,14.0,False,München,25.15
129095,district_heating,False,True,1.67,1992.0,False,True,65.93,unknown,unknown,negotiable,False,apartment,18147,3.0,78.6,5.0,False,Rostock,21.97666666666667
19204,central_heating,False,False,4.76,1969.0,False,True,56.1,refurbished,normal,negotiable,False,apartment,14641,3.0,61.0,2.0,False,Havelland_Kreis,18.7
117091,central_heating,False,True,1.32,1983.0,False,False,56.25,refurbished,unknown,yes,False,apartment,6124,3.0,66.0,3.0,False,Halle_Saale,18.75
266413,central_heating,False,True,4.05,1968.0,False,True,71.9,unknown,unknown,unknown,False,apartment,24159,3.0,169.0,2.0,False,Kiel,23.96666666666667
187635,district_heating,False,True,2.48,1963.0,False,True,71.1,unknown,unknown,yes,False,unknown,39576,4.0,76.0,3.0,False,Stendal_Kreis,17.775
34442,unknown,False,False,3.7,1903.0,False,False,36.0,unknown,unknown,unknown,False,unknown,17235,2.0,184.2,0.0,False,Mecklenburg_Strelitz_Kreis,18.0
